Issue Type,Issue ID,Summary,Description,Priority,Story Points,Epic Name,Epic Link,Parent,Labels,Acceptance Criteria,QA Cases
Epic,OMS-EP1,"الاستقرار والمصادقة (Stability & Auth)","تثبيت صفحة الهبوط ونظام المصادقة وضبط سياسات الوصول بين بيئات التطوير والإنتاج.",High,,"OMS EP1 - Stability & Auth",,,"oms,auth,stability",,
Epic,OMS-EP2,"رحلة المستخدم وتجربة البداية (Onboarding UX)","تحسين رحلة أول استخدام وتوحيد اللغة والـCTA لضمان انسيابية التحويل من Landing إلى الاستخدام الفعلي.",High,,"OMS EP2 - Onboarding UX",,,"oms,ux,onboarding",,
Epic,OMS-EP3,"استمرارية مسار الاستراتيجية (Flow Continuity)","ربط صفحات المراحل بالـworkspace الحقيقي وتحسين دلالة الحالات غير الموجودة في التقارير.",Medium,,"OMS EP3 - Flow Continuity",,,"oms,flow,strategy",,
Epic,OMS-EP4,"جودة مخرجات الذكاء والأداء","تحسين جودة مخرجات التحليل وتعريب الأخطاء وتقليل زمن الاستجابة خصوصًا في مرحلة التحليل النهائي.",High,,"OMS EP4 - AI Quality & Performance",,,"oms,ai,performance,api",,
Epic,OMS-EP5,"التقارير والتخزين المنتجّي","تحويل التخزين إلى backend دائم متعدد الأجهزة وإضافة تصدير رسمي للتقارير بصيغ PDF وDOCX.",High,,"OMS EP5 - Reports & Persistence",,,"oms,reports,data,persistence",,
Epic,OMS-EP6,"أتمتة QA وحوكمة الإطلاق","بناء بوابة جودة قبل الإطلاق عبر اختبارات E2E وقيود CI لمنع تمرير الأعطال الحرجة.",Medium,,"OMS EP6 - QA Automation & Release Governance",,,"oms,qa,ci,release",,
Story,OMS-101,"إصلاح انهيار Landing عند غياب Clerk","فصل منطق Clerk عن عرض صفحة Landing بحيث تعمل الصفحة دائمًا بدون انهيار عند غياب المفاتيح.",High,5,,OMS-EP1,OMS-EP1,"oms,auth,landing","1) الصفحة / لا ترجع 500 في أي بيئة || 2) عند غياب مفاتيح Clerk يظهر fallback آمن بدون hook errors || 3) لا يظهر خطأ useSignIn outside ClerkProvider","1) تشغيل بدون Clerk keys وفتح / والتأكد من HTTP 200 || 2) تشغيل مع Clerk keys والتأكد من عمل الدخول || 3) مراجعة logs والتأكد من عدم وجود runtime crash"
Story,OMS-102,"فرض سياسة Auth حسب البيئة (Demo فقط في التطوير)","تفعيل وضع تجريبي development-only ومنع دخول /app في production بدون session موثقة.",High,5,,OMS-EP1,OMS-EP1,"oms,auth,security","1) Demo mode مفعل فقط عند env صريح في dev || 2) production يمنع دخول /app بدون session || 3) SignedOut يعاد توجيهه إلى /sign-in","1) production-like بدون session: /app -> redirect || 2) dev بدون Clerk: يظهر وضع تجريبي واضح || 3) SignedIn يصل مباشرة إلى Dashboard"
Story,OMS-201,"بناء First-Run Wizard للمستخدم الجديد","إنشاء معالج بداية من 3 خطوات لجمع بيانات المشروع الأساسية عند أول دخول.",High,8,,OMS-EP2,OMS-EP2,"oms,ux,onboarding","1) أول دخول بلا مشاريع يعرض wizard تلقائيًا || 2) يجمع اسم المشروع والنوع والهدف || 3) بعد الإكمال ينشئ مشروعًا نشطًا وينتقل للمسار","1) حساب جديد يرى wizard || 2) حساب لديه مشروع سابق لا يرى wizard || 3) إلغاء المعالج يعرض سلوك حفظ/تحذير واضح"
Story,OMS-202,"توحيد النصوص والـCTA باللغة العربية","توحيد اللغة في الواجهة ورسائل التحميل والفشل وإزالة النصوص الإنجليزية غير المقصودة.",Medium,3,,OMS-EP2,OMS-EP2,"oms,ux,copy","1) إزالة نصوص LOGIN/Redirecting في الواجهة || 2) رسائل النظام الأساسية بالعربية المهنية || 3) أسلوب الرسائل موحد عبر الصفحات","1) مراجعة Landing/SignIn/SignUp/Strategy/Reports || 2) اختبار loading/error لكل CTA رئيسي || 3) تدقيق لغوي شامل"
Story,OMS-301,"ربط صفحات المراحل بالـWorkspace الحقيقي","تقليل الفجوة بين الصفحات التعريفية والمحرّك الفعلي عبر إجراءات واضحة قابلة للتنفيذ.",High,8,,OMS-EP3,OMS-EP3,"oms,flow,strategy","1) كل صفحة مرحلة تقود لإجراء فعلي واضح || 2) يمكن استئناف المسار من آخر خطوة || 3) CTA التالي يعتمد على حالة البيانات الفعلية","1) المرور من brief حتى decision بدون فقد سياق || 2) تحديث البيانات في workspace وانعكاسها في المراحل || 3) التحقق من guards عند نقص البيانات"
Story,OMS-302,"تحسين دلالة التقرير غير الموجود (404 UX)","ضبط سلوك تقرير غير موجود برسالة دقيقة وكود HTTP متفق عليه.",Low,2,,OMS-EP3,OMS-EP3,"oms,reports,ux","1) فتح تقرير غير موجود يعرض حالة واضحة للمستخدم || 2) يتم استخدام status code متفق عليه (404 أو بديل موثق) || 3) زر رجوع واضح لقائمة التقارير","1) فتح id عشوائي والتأكد من الرسالة || 2) فحص network status || 3) التحقق من سلامة التنقل"
Story,OMS-401,"تعريب رسائل API والتحقق الصارم للمدخلات","توحيد ردود الأخطاء في API بالعربية مع schema validation واضحة لجميع المدخلات.",High,5,,OMS-EP4,OMS-EP4,"oms,api,validation,ai","1) أخطاء project/stage/advisors تعود بالعربية || 2) جميع payloads تمر عبر schema validation || 3) error contract موحد (code,message,details)","1) إرسال payload ناقص والتحقق من رسالة دقيقة || 2) إرسال stage غير صحيح والتحقق من الكود || 3) التأكد من ثبات contract مع الواجهة"
Story,OMS-402,"تحسين زمن التحليل النهائي إلى أقل من 15 ثانية","تقليل زمن analysis وتحسين feedback للمستخدم أثناء التنفيذ.",High,8,,OMS-EP4,OMS-EP4,"oms,ai,performance","1) متوسط زمن analysis أقل من 15s || 2) progress state مع ETA أثناء التحليل || 3) fallback واضح عند timeout/failure","1) قياس الزمن على 10 runs || 2) اختبار payload كبير || 3) اختبار انقطاع/فشل وإظهار recovery message"
