Issue ID,Issue Type,Summary,Parent Issue ID,Description,Priority,Story Points,Labels,Acceptance Criteria,QA Cases
OMS-101,Story,"إصلاح انهيار Landing عند غياب Clerk",OMS-EP1,"فصل منطق Clerk عن عرض صفحة Landing بحيث تعمل الصفحة دائمًا بدون انهيار عند غياب المفاتيح.",High,5,"oms,auth,landing","1) الصفحة / لا ترجع 500 في أي بيئة || 2) عند غياب مفاتيح Clerk يظهر fallback آمن بدون hook errors || 3) لا يظهر خطأ useSignIn outside ClerkProvider","1) تشغيل بدون Clerk keys وفتح / والتأكد من HTTP 200 || 2) تشغيل مع Clerk keys والتأكد من عمل الدخول || 3) مراجعة logs والتأكد من عدم وجود runtime crash"
OMS-102,Story,"فرض سياسة Auth حسب البيئة (Demo فقط في التطوير)",OMS-EP1,"تفعيل وضع تجريبي development-only ومنع دخول /app في production بدون session موثقة.",High,5,"oms,auth,security","1) Demo mode مفعل فقط عند env صريح في dev || 2) production يمنع دخول /app بدون session || 3) SignedOut يعاد توجيهه إلى /sign-in","1) production-like بدون session: /app -> redirect || 2) dev بدون Clerk: يظهر وضع تجريبي واضح || 3) SignedIn يصل مباشرة إلى Dashboard"
OMS-201,Story,"بناء First-Run Wizard للمستخدم الجديد",OMS-EP2,"إنشاء معالج بداية من 3 خطوات لجمع بيانات المشروع الأساسية عند أول دخول.",High,8,"oms,ux,onboarding","1) أول دخول بلا مشاريع يعرض wizard تلقائيًا || 2) يجمع اسم المشروع والنوع والهدف || 3) بعد الإكمال ينشئ مشروعًا نشطًا وينتقل للمسار","1) حساب جديد يرى wizard || 2) حساب لديه مشروع سابق لا يرى wizard || 3) إلغاء المعالج يعرض سلوك حفظ/تحذير واضح"
OMS-202,Story,"توحيد النصوص والـCTA باللغة العربية",OMS-EP2,"توحيد اللغة في الواجهة ورسائل التحميل والفشل وإزالة النصوص الإنجليزية غير المقصودة.",Medium,3,"oms,ux,copy","1) إزالة نصوص LOGIN/Redirecting في الواجهة || 2) رسائل النظام الأساسية بالعربية المهنية || 3) أسلوب الرسائل موحد عبر الصفحات","1) مراجعة Landing/SignIn/SignUp/Strategy/Reports || 2) اختبار loading/error لكل CTA رئيسي || 3) تدقيق لغوي شامل"
OMS-301,Story,"ربط صفحات المراحل بالـWorkspace الحقيقي",OMS-EP3,"تقليل الفجوة بين الصفحات التعريفية والمحرّك الفعلي عبر إجراءات واضحة قابلة للتنفيذ.",High,8,"oms,flow,strategy","1) كل صفحة مرحلة تقود لإجراء فعلي واضح || 2) يمكن استئناف المسار من آخر خطوة || 3) CTA التالي يعتمد على حالة البيانات الفعلية","1) المرور من brief حتى decision بدون فقد سياق || 2) تحديث البيانات في workspace وانعكاسها في المراحل || 3) التحقق من guards عند نقص البيانات"
OMS-302,Story,"تحسين دلالة التقرير غير الموجود (404 UX)",OMS-EP3,"ضبط سلوك تقرير غير موجود برسالة دقيقة وكود HTTP متفق عليه.",Low,2,"oms,reports,ux","1) فتح تقرير غير موجود يعرض حالة واضحة للمستخدم || 2) يتم استخدام status code متفق عليه (404 أو بديل موثق) || 3) زر رجوع واضح لقائمة التقارير","1) فتح id عشوائي والتأكد من الرسالة || 2) فحص network status || 3) التحقق من سلامة التنقل"
OMS-401,Story,"تعريب رسائل API والتحقق الصارم للمدخلات",OMS-EP4,"توحيد ردود الأخطاء في API بالعربية مع schema validation واضحة لجميع المدخلات.",High,5,"oms,api,validation,ai","1) أخطاء project/stage/advisors تعود بالعربية || 2) جميع payloads تمر عبر schema validation || 3) error contract موحد (code,message,details)","1) إرسال payload ناقص والتحقق من رسالة دقيقة || 2) إرسال stage غير صحيح والتحقق من الكود || 3) التأكد من ثبات contract مع الواجهة"
OMS-402,Story,"تحسين زمن التحليل النهائي إلى أقل من 15 ثانية",OMS-EP4,"تقليل زمن analysis وتحسين feedback للمستخدم أثناء التنفيذ.",High,8,"oms,ai,performance","1) متوسط زمن analysis أقل من 15s || 2) progress state مع ETA أثناء التحليل || 3) fallback واضح عند timeout/failure","1) قياس الزمن على 10 runs || 2) اختبار payload كبير || 3) اختبار انقطاع/فشل وإظهار recovery message"
OMS-501,Story,"نقل تخزين المشاريع إلى Backend دائم",OMS-EP5,"استبدال localStorage بمخزن backend مرتبط بالمستخدم مع دعم الاستكمال متعدد الأجهزة.",High,13,"oms,data,persistence,backend","1) المشاريع تحفظ server-side بدل local-only || 2) كل مشروع مرتبط userId || 3) save/resume/versioning أساسي مدعوم","1) إنشاء مشروع من جهاز A وفتحه من جهاز B || 2) تسجيل خروج/دخول واستكمال نفس المشروع || 3) عزل بيانات المستخدمين"
OMS-502,Story,"تصدير رسمي للتقارير PDF وDOCX",OMS-EP5,"إضافة تصدير مباشر للملفات بدل الاعتماد على النسخ والطباعة اليدوية فقط.",Medium,8,"oms,reports,export","1) زر تصدير PDF مباشر || 2) زر تصدير DOCX منسق || 3) اسم ملف موحد (project-date-version)","1) تصدير تقرير مكتمل والتحقق من التنسيق || 2) تصدير تقرير فارغ يعرض رسالة مناسبة || 3) اختبار على mobile وdesktop"
